county,village,size_livestock,size_bovine,size_camel,size_goat,size_sheep,n_tested_livestock,n_tested_bovine,n_tested_camel,n_tested_goat,n_tested_sheep,n_positive_bovine,n_positive_camel,n_positive_goat,n_positive_sheep,n_negative_bovine,n_negative_camel,n_negative_goat,n_negative_sheep,n_tested_human,n_positive_human,n_negative_human,prop_bovine,prop_camel,prop_goat,prop_sheep,expected_herd_lifespan,expected_herd_lifespan_s,seroprevalence,lambda
Kajiado,Empukani,1217,333,0,467,417,320,90,0,130,100,5,0,4,1,85,0,126,97,98,4,94,0.2736236647493837,0,0.38373048479868527,0.34264585045193097,3.437140509449466,-0.8399692221119827,0.0408163265306122,0.00226089271741671
Kajiado,Endonyo,550,121,0,250,179,233,57,0,96,80,1,0,1,0,56,0,95,80,73,1,72,0.22,0,0.45454545454545453,0.32545454545454544,3.2054545454545456,-1.2159243052262398,0.0136986301369863,0.00109665213527525
Kajiado,Ilumbwa,814,280,0,271,263,210,55,0,79,76,0,0,1,0,55,0,78,76,52,3,49,0.343980343980344,0,0.33292383292383293,0.3230958230958231,3.699017199017199,-0.41502387413103153,0.0576923076923077,0.00200433334332363
Kajiado,Kikeleya,699,330,0,192,177,277,94,0,95,88,11,0,2,0,83,0,93,86,101,6,95,0.4721030042918455,0,0.27467811158798283,0.2532188841201717,4.141630901287554,0.3032020742833858,0.0594059405940594,0.00322204649018375
Kajiado,Kisrket,2132,754,0,794,584,415,148,0,144,123,10,0,1,0,138,0,143,112,145,12,133,0.35365853658536583,0,0.3724202626641651,0.27392120075046905,3.6885553470919326,-0.4320002431016563,0.0827586206896552,0.00446997955500169
Kajiado,Mailwa,458,102,0,155,201,191,35,0,79,77,5,0,2,1,30,0,77,75,67,2,65,0.22270742358078602,0,0.3384279475982533,0.4388646288209607,3.3296943231441047,-1.0143213460223792,0.0298507462686567,0.00146145347072894
Kajiado,Olchurai,1055,422,0,349,284,203,67,0,71,65,4,0,2,0,63,0,69,65,70,2,68,0.4,0,0.33080568720379144,0.26919431279620853,3.8691943127962087,-0.13887874280000878,0.0285714285714286,0.00172166273416673
Kajiado,Sere,996,269,0,412,315,306,81,0,120,105,3,0,0,2,78,0,120,103,115,5,110,0.2700803212851406,0,0.41365461847389556,0.31626506024096385,3.396586345381526,-0.9057761612113483,0.0434782608695652,0.0024927427224148
Marsabit,Laisamis,708,45,124,290,249,161,7,71,48,35,1,3,5,1,6,68,42,34,44,11,33,0.0635593220338983,0.1751412429378531,0.4096045197740113,0.3516949152542373,5.057909604519774,1.7900406815502699,0.25,0.0105524272429676
Marsabit,Lontolio,1254,129,152,615,358,374,39,112,144,79,6,11,15,1,32,101,129,78,85,11,74,0.10287081339712918,0.12121212121212122,0.4904306220095694,0.28548644338118023,4.393939393939394,0.7126211806019495,0.129411764705882,0.00576677549897139
Marsabit,Nairibi,588,56,23,346,163,224,43,18,103,60,2,1,2,0,41,17,101,60,78,10,68,0.09523809523809523,0.0391156462585034,0.5884353741496599,0.27721088435374147,3.20578231292517,-1.2153924394000328,0.128205128205128,0.00658609884020782
Marsabit,Ndikir,2665,406,299,1260,700,497,63,161,166,107,5,9,17,8,58,150,149,98,123,17,106,0.1523452157598499,0.11219512195121951,0.4727954971857411,0.2626641651031895,4.442776735459662,0.7918691698790837,0.138211382113821,0.00773889304702302
Marsabit,Sakardala,2650,268,450,1121,811,675,91,335,169,80,15,37,19,4,76,298,150,76,130,24,106,0.10113207547169811,0.16981132075471697,0.4230188679245283,0.3060377358490566,5.087924528301887,1.8387456741644086,0.184615384615385,0.0114247120934753
Marsabit,Silapani,2792,249,303,1575,665,492,94,188,155,55,7,13,12,1,86,175,143,54,103,14,89,0.08918338108882522,0.1085243553008596,0.5641117478510028,0.23818051575931232,4.114255014326647,0.2587794270057984,0.135922330097087,0.00661150025712782
Marsabit,Trigamo,5452,673,566,2552,1661,1049,172,397,302,178,20,50,29,9,152,347,273,169,196,28,168,0.12344093910491563,0.10381511371973588,0.46808510638297873,0.30465884079236977,4.251834189288335,0.4820281265197928,0.142857142857143,0.0077398345280617
