,A_true,beta_true,gamma_true,omega_true,rho_true,A_start,beta_start,rho_start,index,A_hat,beta_hat,rho_hat,nloglik,code,mean_R0_true,mean_R0_hat,set
10,9.80244897565346e-08,0.001899531,0.001369863,0.000547945,0.288782156,1.07033257141587e-05,0.001703462,0.000444776,1,1.02431716889846e-07,0.001775709,0.335714684,138.0779535,0,1.508269811,1.514599041,combination 2
6,1.67342027256808e-08,0.001262755,0.001369863,0.000547945,0.737870953,4.66578933998188e-06,0.001803327,0.000314723,2,2.87986062591219e-08,0.000990817,0.999999922,160.7662377,0,1.52463466,1.500086174,combination 2
3,4.47349122573938e-08,0.00196174,0.001369863,0.000547945,0.248954926,4.55918991926038e-06,0.001927138,0.000369155,3,9.21843052534799e-09,0.001329602,0.653460292,136.7349114,0,1.4083588,1.475111928,combination 2
2,7.72583016945003e-08,0.000980802,0.001369863,0.000547945,0.786435037,0.000113646,0.001170948,0.000531136,4,7.40714257463788e-08,0.000826619,0.999998399,114.5906133,0,1.365255595,1.372869823,combination 2
8,7.01360666927825e-09,0.001589818,0.001369863,0.000547945,0.435427994,4.20517000113625e-05,0.001344712,0.0004695,5,4.55980829140126e-09,0.001527336,0.472467681,129.3079046,0,1.407002044,1.405428903,combination 2
1,2.58212756321237e-08,0.002131366,0.001369863,0.000547945,0.284610198,5.64029348755865e-05,0.001709078,0.00035365,6,1.31993971975729e-09,0.002338322,0.2118461,141.3749941,0,1.581865386,1.532705204,combination 2
21,1.06515919136934e-07,0.001897237,0.001369863,0.000547945,0.241692187,0.000141463,0.001475353,0.000302067,7,1.7386594148796e-07,0.002104254,0.134594264,136.1100948,0,1.418818243,1.378816087,combination 2
101,1.67324775804779e-08,0.001630726,0.001369863,0.000547945,0.416132594,6.22418180125145e-06,0.001572919,0.000348708,8,1.25794581559206e-08,0.001558523,0.4569091,132.1703359,0,1.425059656,1.42157612,combination 2
4,1.36065216660763e-07,0.001822049,0.001369863,0.000547945,0.215655241,7.23236573684074e-05,0.001554323,0.000328139,9,1.49259240622244e-07,0.001742393,0.238115807,126.8108136,0,1.346998533,1.353683026,combination 2
11,7.54205203528397e-08,0.002407394,0.001369863,0.000547945,0.201420126,4.6667135785591e-05,0.001499528,0.000434304,10,1.04011078599653e-07,0.002731,0.100417333,137.2201868,0,1.630966176,1.575634417,combination 2
81,1.16421369044464e-07,0.001370189,0.001369863,0.000547945,0.4797574,0.000124112,0.001476238,0.000376992,11,7.47150677304604e-08,0.001050005,0.818594223,140.2082155,0,1.443021789,1.483036361,combination 2
102,1.2874708008011e-07,0.00157643,0.001369863,0.000547945,0.374009479,0.000181567,0.001467438,0.000324867,12,1.21271462729705e-07,0.001389204,0.481891409,147.2502521,0,1.462089644,1.471415376,combination 2
41,7.93574256286902e-08,0.00106579,0.001369863,0.000547945,0.648570023,0.000118214,0.001277866,0.0004733,13,9.48381553686889e-08,0.001245029,0.469387464,114.9783913,0,1.308296288,1.279823414,combination 2
22,2.18099157591539e-07,0.001586779,0.001369863,0.000547945,0.246357533,0.000139992,0.001617745,0.000319697,14,2.63464970087161e-07,0.001725038,0.17379782,126.516731,0,1.3408095,1.329426644,combination 2
61,1.09985496585299e-07,0.001353857,0.001369863,0.000547945,0.450739181,5.24208205877615e-05,0.0015333,0.000484406,15,9.41227221723095e-08,0.001205665,0.560063818,134.4838355,0,1.373297366,1.366855222,combination 2
5,1.83943199021739e-07,0.00187314,0.001369863,0.000547945,0.209841884,7.97573357698552e-05,0.001520937,0.000350176,16,1.51065737512462e-07,0.001819292,0.251167715,139.9618641,0,1.419594436,1.435225873,combination 2
9,1.88804708313085e-07,0.001733934,0.001369863,0.000547945,0.254100208,9.85575969149835e-05,0.001628433,0.00031462,17,1.3358432393834e-07,0.001421094,0.441505468,139.1238237,0,1.4250386,1.453145369,combination 2
103,2.46505809369887e-08,0.001445246,0.001369863,0.000547945,0.591444281,9.75971275084962e-05,0.001685735,0.000318288,18,2.60330444850147e-08,0.001088752,0.907640728,163.3042715,0,1.537889387,1.53000425,combination 2
104,7.48143251905572e-08,0.001910252,0.001369863,0.000547945,0.237151171,4.64731927928925e-05,0.001675088,0.000336065,19,6.23645099572442e-08,0.001698165,0.320742704,138.1595835,0,1.382835613,1.375664272,combination 2
105,5.91777835292477e-08,0.002049162,0.001369863,0.000547945,0.312811369,0.000138902,0.001659562,0.000328243,20,6.04004663690003e-08,0.0018979,0.365775607,143.6205386,0,1.622684018,1.615941306,combination 2
31,1.75359153396591e-07,0.001427685,0.001369863,0.000547945,0.357523871,5.4555908409148e-05,0.001368423,0.000527264,21,1.56973529579949e-07,0.001395013,0.384365158,126.5372213,0,1.375010351,1.369229381,combination 2
62,7.10057504405481e-09,0.001340302,0.001369863,0.000547945,0.680573304,7.95253802776581e-05,0.001918081,0.000318258,22,1.70578233150755e-08,0.001073265,0.95087079,134.41109,0,1.519662614,1.536425245,combination 2
42,6.9936510100326e-08,0.001380905,0.001369863,0.000547945,0.428255543,8.10671958177661e-05,0.001560921,0.000324916,23,8.61297060413805e-08,0.001322192,0.448574826,119.9422587,0,1.304328294,1.306436838,combination 2
32,1.50474258921351e-07,0.001559175,0.001369863,0.000547945,0.279765494,3.17570773041918e-06,0.001760334,0.000311424,24,1.39296029168569e-07,0.001376297,0.380427182,124.8333784,0,1.305975894,1.323179583,combination 2
63,2.50865827239939e-08,0.001411069,0.001369863,0.000547945,0.530146833,2.88957505251458e-05,0.001661808,0.000423885,25,3.29872767776817e-08,0.001045694,0.857593231,140.0699044,0,1.414092554,1.432395253,combination 2
51,1.5225156886522e-07,0.00175612,0.001369863,0.000547945,0.26991937,3.45084272784292e-05,0.001544699,0.000385298,26,1.55888099716384e-07,0.001679086,0.298347647,136.996361,0,1.430573159,1.435280613,combination 2
33,1.33605927368903e-07,0.001641932,0.001369863,0.000547945,0.356913283,0.000112629,0.001629567,0.000321305,27,1.35418233176376e-07,0.001686695,0.346464457,138.2439588,0,1.490169849,1.508313834,combination 2
52,1.93662153534385e-08,0.001830785,0.001369863,0.000547945,0.41532705,4.00801049367968e-05,0.001488356,0.000567318,28,3.94636306194824e-08,0.002124768,0.262727013,152.75839,0,1.5992119,1.545395978,combination 2
12,1.75561433901575e-07,0.001786143,0.001369863,0.000547945,0.200384749,4.21232336143375e-05,0.001560421,0.000506855,29,2.47704736238727e-07,0.002238366,0.047921216,132.9686792,0,1.334083528,1.294728752,combination 2
64,4.56079857691464e-08,0.001867886,0.001369863,0.000547945,0.292992236,6.81728086162736e-05,0.001872196,0.000355393,30,3.75256405915589e-08,0.001335645,0.595595775,128.6563123,0,1.430157027,1.452500667,combination 2
7,5.02312246259746e-08,0.001565418,0.001369863,0.000547945,0.368610336,7.80116265386288e-05,0.001483491,0.000397151,31,5.07400267361931e-08,0.001352182,0.497964549,137.2367527,0,1.338089688,1.351962392,combination 2
106,1.09693926611036e-07,0.001732501,0.001369863,0.000547945,0.308606447,7.3420559165578e-05,0.001606135,0.000435237,32,1.81832750348839e-07,0.002315199,0.084942354,134.7401642,0,1.438186318,1.377624017,combination 2
82,1.17235407521818e-07,0.001779337,0.001369863,0.000547945,0.226573334,3.99531686722379e-05,0.001357309,0.000488925,33,1.09839197544449e-07,0.001688231,0.266019541,139.2945358,0,1.320177379,1.325121305,combination 2
107,8.69137710361132e-08,0.002224676,0.001369863,0.000547945,0.200441867,4.86775715682035e-05,0.001835472,0.000356267,34,1.17227135150826e-07,0.002274255,0.175658505,138.4235638,0,1.523016818,1.525461038,combination 2
