,A_true,beta_true,gamma_true,omega_true,rho_true,A_start,beta_start,rho_start,index,A_hat,beta_hat,rho_hat,nloglik,code,mean_R0_true,mean_R0_hat,set
1,7.32620932433471e-08,0.002898306,0.005479452,0.000182648,0.266662419,2.54600753763203e-05,0.002470023,0.000353313,1,2.92207979563633e-08,0.001840067,0.515807587,139.0253331,0,1.507571627,1.548950247,combination 3
6,3.41730895984846e-08,0.002988528,0.005479452,0.000182648,0.266788586,6.91434812305473e-05,0.001805726,0.000430335,2,2.06313072947636e-08,0.00196295,0.482253932,141.0322804,0,1.520674274,1.551613679,combination 3
5,5.22062073042326e-08,0.00285383,0.005479452,0.000182648,0.28513916,8.87616019202906e-05,0.001793765,0.000418553,3,9.90195013714824e-08,0.003201877,0.233724424,143.1659241,0,1.537899229,1.537577921,combination 3
51,1.60609757523145e-08,0.001492273,0.005479452,0.000182648,0.583669861,9.34076276382243e-05,0.001417747,0.000541523,4,1.00948745647673e-13,0.00094394,0.999999515,134.3743895,0,1.378479781,1.362571336,combination 3
2,1.42665815643352e-07,0.001488854,0.005479452,0.000182648,0.477975542,3.05580826048518e-05,0.001781002,0.000405851,5,1.78292264270032e-07,0.001795674,0.36796081,115.2693011,0,1.332299666,1.317820319,combination 3
7,6.00034341365463e-08,0.002990815,0.005479452,0.000182648,0.21934393,3.86601095054975e-05,0.002234641,0.000347741,6,9.72131222172676e-08,0.00396298,0.127132853,127.3313931,0,1.354337718,1.317365086,combination 3
61,9.36722215583422e-08,0.001372939,0.005479452,0.000182648,0.597096794,0.000138879,0.00182208,0.00040383,7,7.31486038227457e-08,0.000863985,0.999999902,136.8178236,0,1.414597016,1.424570296,combination 3
62,1.18570512831452e-07,0.003023066,0.005479452,0.000182648,0.228034522,0.000109224,0.002180478,0.000339585,8,2.16171540728026e-07,0.00421968,0.11907852,148.94779,0,1.447103525,1.414406049,combination 3
63,1.25991372691739e-07,0.001849122,0.005479452,0.000182648,0.434608883,6.48877479593946e-05,0.00144807,0.000593593,9,1.20525106808896e-07,0.001984715,0.402729202,149.6107255,0,1.473520018,1.474161995,combination 3
8,2.53377727208549e-07,0.002740713,0.005479452,0.000182648,0.21864524,0.000158663,0.002169179,0.000330382,10,2.23312566289811e-07,0.002538388,0.240936142,133.6902434,0,1.382398414,1.355801675,combination 3
64,3.86208564345352e-08,0.001910455,0.005479452,0.000182648,0.438500994,8.52578678747683e-05,0.001845571,0.000465294,11,2.83417142363924e-08,0.000944319,0.999999199,140.9853259,0,1.422887084,1.431857303,combination 3
9,2.0275132076863e-07,0.002677258,0.005479452,0.000182648,0.250311695,8.98053456451755e-05,0.001902716,0.000431215,12,2.417685880174e-07,0.002935862,0.206918393,130.7902441,0,1.441074129,1.408826712,combination 3
4,8.14000934802348e-08,0.002709834,0.005479452,0.000182648,0.259179677,0.000147749,0.002444629,0.000313013,13,4.60207979850079e-08,0.000918644,0.999999724,137.856424,0,1.392804781,1.437674638,combination 3
41,7.46766129606786e-08,0.002173821,0.005479452,0.000182648,0.320628656,1.0061217677897e-05,0.002231631,0.000394106,14,2.34442583146653e-08,0.000875795,0.999999985,129.6997669,0,1.306924793,1.321066013,combination 3
10,6.50459120011072e-08,0.002495228,0.005479452,0.000182648,0.338770745,9.0308878703044e-05,0.002275065,0.000324331,15,4.66724472952243e-08,0.00205098,0.448702871,146.6896355,0,1.541440393,1.561799783,combination 3
65,1.11955283205995e-07,0.002869511,0.005479452,0.000182648,0.264333706,0.000146045,0.001672296,0.000426235,16,4.23364454598557e-08,0.002209652,0.401562864,143.9683856,0,1.516126755,1.534414046,combination 3
52,5.0687768210437e-08,0.002565505,0.005479452,0.000182648,0.311701137,2.7365584508823e-05,0.002493493,0.000306854,17,4.74111341474385e-08,0.002510171,0.315775159,143.5810097,0,1.476469968,1.456188066,combination 3
66,1.09013213848948e-07,0.002996743,0.005479452,0.000182648,0.258193884,9.02195990411376e-05,0.00219104,0.000382665,18,9.19636529265406e-08,0.00324093,0.232125858,138.9622626,0,1.551682528,1.543076858,combination 3
53,1.65398559096411e-07,0.002464971,0.005479452,0.000182648,0.25163523,3.81938023153138e-05,0.001692338,0.000445449,19,1.65811338642939e-07,0.002794136,0.204456799,131.0014312,0,1.314590667,1.286095074,combination 3
54,1.31234848347163e-07,0.002692274,0.005479452,0.000182648,0.246867379,0.000150902,0.001477415,0.000493687,20,1.26315687664351e-07,0.003161878,0.190522558,152.4197895,0,1.378541116,1.35222544,combination 3
71,2.39601665320701e-07,0.002415075,0.005479452,0.000182648,0.25260431,0.000150178,0.001764037,0.000415218,21,2.42861043177473e-07,0.002688558,0.213833489,135.2465835,0,1.353302781,1.332760489,combination 3
81,1.21555741984296e-07,0.002534736,0.005479452,0.000182648,0.270360621,2.00305286158453e-05,0.002331264,0.000305141,22,4.40074218603119e-08,0.00122319,0.739734388,138.2719461,0,1.379197928,1.43753889,combination 3
82,3.96899976706354e-08,0.001852188,0.005479452,0.000182648,0.409609486,6.27692215371888e-05,0.001572799,0.000532662,23,6.66582286813825e-08,0.002150725,0.324595162,136.0495028,0,1.310792551,1.297757065,combination 3
55,1.42100197575988e-07,0.00178521,0.005479452,0.000182648,0.426457681,0.000130723,0.002283285,0.000348733,24,7.55050203943584e-08,0.000875825,0.999996642,139.257547,0,1.425787774,1.447372594,combination 3
42,3.08446247908133e-07,0.002434616,0.005479452,0.000182648,0.228087249,2.04244044227703e-05,0.002500232,0.000346626,25,3.36854823107689e-07,0.002470021,0.221163364,119.1015653,0,1.324396604,1.33439831,combination 3
56,3.37266497892219e-07,0.002648926,0.005479452,0.000182648,0.202615261,2.59827669933749e-05,0.002337839,0.000366624,26,2.24297681966055e-07,0.001851482,0.354663965,117.6795201,0,1.336644584,1.363075251,combination 3
43,1.90147611697051e-07,0.001983721,0.005479452,0.000182648,0.332028243,0.000106688,0.001727749,0.000422726,27,1.31289000422207e-07,0.001502688,0.490644249,130.6177315,0,1.342013932,1.356432184,combination 3
83,4.82426128321385e-08,0.001595225,0.005479452,0.000182648,0.532280952,0.000107904,0.001729314,0.000451941,28,2.85548551199327e-08,0.000939515,0.999999953,144.5956757,0,1.409840576,1.425440897,combination 3
21,3.43200738390654e-09,0.001647043,0.005479452,0.000182648,0.584125662,5.20089495386773e-05,0.001540219,0.000597986,29,9.43452604366034e-09,0.00103696,0.999999497,133.8253757,0,1.500697138,1.519727392,combination 3
3,2.45779583912953e-08,0.002243103,0.005479452,0.000182648,0.365005531,0.000147064,0.002234149,0.000338267,30,1.92279584889455e-08,0.000981237,0.999999751,151.5667631,0,1.429429456,1.463045218,combination 3
67,1.52905596112868e-07,0.00308238,0.005479452,0.000182648,0.219893189,3.60092740583211e-06,0.002822204,0.000312215,31,2.10693554527493e-07,0.004580256,0.101195283,136.0509182,0,1.464338643,1.409416931,combination 3
31,8.32223434679067e-08,0.002369753,0.005479452,0.000182648,0.270653397,9.58981595186494e-06,0.001859122,0.00049981,32,3.19574876970319e-08,0.00085344,0.999998421,128.7356369,0,1.264890428,1.309443504,combination 3
84,9.59307601087806e-09,0.00283372,0.005479452,0.000182648,0.304932617,1.64770042135192e-05,0.001758899,0.000555478,33,2.63253345681922e-13,0.001332561,0.790501244,166.3498217,0,1.562953649,1.564061517,combination 3
44,8.29268180837544e-08,0.003266042,0.005479452,0.000182648,0.206906156,3.01298635838232e-05,0.002148928,0.000380462,34,8.08694978552235e-08,0.004280657,0.124568938,134.2648944,0,1.437061315,1.3956868,combination 3
68,1.59552822083318e-08,0.00159212,0.005479452,0.000182648,0.486954253,0.00014112,0.00129507,0.000574631,35,2.1895479982704e-08,0.001649676,0.457180195,123.672424,0,1.267279235,1.255446203,combination 3
69,1.98911710654267e-07,0.002199319,0.005479452,0.000182648,0.321634875,4.24828127636352e-08,0.002053738,0.000430014,36,2.86393532242689e-07,0.002888794,0.210668096,140.4987586,0,1.442368746,1.436458394,combination 3
85,1.41303553324414e-07,0.001647101,0.005479452,0.000182648,0.474460825,8.18593531795656e-05,0.001883323,0.000391926,37,1.01111802109995e-07,0.0010581,0.778620451,135.4738619,1,1.444062062,1.422257487,combination 3
32,2.16756672181231e-08,0.001627678,0.005479452,0.000182648,0.575763894,6.5938250952571e-05,0.001420097,0.000571565,38,7.00438333253017e-08,0.00333025,0.201880772,136.2236729,0,1.49293249,1.432842941,combination 3
91,2.58618042639962e-08,0.00291868,0.005479452,0.000182648,0.245244903,3.75050247942009e-06,0.002255573,0.000367762,39,2.59566188137765e-08,0.003347584,0.192308391,133.1248701,0,1.396716993,1.367884465,combination 3
33,2.20154220597556e-07,0.002530348,0.005479452,0.000182648,0.256425189,0.000115498,0.002195508,0.000328156,40,1.0300920669151e-07,0.001187668,0.707472946,154.5078736,0,1.407499219,1.451284743,combination 3
72,2.21965751496762e-07,0.00300484,0.005479452,0.000182648,0.220781268,1.24931672630011e-05,0.002698038,0.000310934,41,4.54125958512236e-07,0.004724326,0.08104591,140.6954923,0,1.48443347,1.422459727,combination 3
73,5.27874418777375e-08,0.002691969,0.005479452,0.000182648,0.301489663,4.84701097617436e-05,0.002330414,0.000316867,42,5.34465843605544e-08,0.003447297,0.201004788,138.0069367,0,1.51231084,1.466086876,combination 3
34,6.61077594487345e-08,0.002904748,0.005479452,0.000182648,0.245431919,0.000132435,0.002176771,0.000325873,43,2.14257612148481e-08,0.000983481,0.999999294,148.5055682,0,1.42238685,1.471613526,combination 3
45,1.38028192758627e-08,0.0030437,0.005479452,0.000182648,0.220316971,0.000140363,0.001777661,0.000448848,44,4.74926404293622e-08,0.004011634,0.129621143,140.2870375,0,1.347785104,1.319867965,combination 3
46,1.96859232950705e-07,0.002402826,0.005479452,0.000182648,0.283372559,0.000193449,0.002188194,0.000328757,45,2.58865143259531e-07,0.002536109,0.242251474,143.6069253,0,1.421636769,1.387281283,combination 3
86,5.57505529693423e-09,0.001698,0.005479452,0.000182648,0.497650611,1.29289700026469e-06,0.001857911,0.000471281,46,1.75358194154117e-08,0.002478258,0.297763992,131.6037739,0,1.360097267,1.352096275,combination 3
92,1.51786177641419e-07,0.002675369,0.005479452,0.000182648,0.276660441,0.000139489,0.001941996,0.000360025,47,1.03222605652026e-07,0.001791582,0.477392396,148.225254,0,1.499176621,1.513453697,combination 3
74,1.47527243135809e-07,0.003135667,0.005479452,0.000182648,0.220983177,7.75354396076518e-05,0.00246391,0.000343916,48,1.29348379889451e-07,0.003468821,0.187849526,138.1038659,0,1.488565647,1.464674003,combination 3
610,5.3073102384026e-08,0.002979753,0.005479452,0.000182648,0.201048189,0.00013388,0.001422355,0.000543109,49,1.21085389899602e-08,0.001499952,0.564650536,129.3033102,0,1.272140172,1.342205824,combination 3
101,3.27165024641733e-08,0.001538609,0.005479452,0.000182648,0.580184277,1.81012872062003e-05,0.001403948,0.000573362,50,9.47009471514579e-10,0.001145177,0.876330567,138.4623348,0,1.438677816,1.472731647,combination 3
