"StudySite","Village","Total_Herd_Size","Cattle_Herd_Size","Camel_Herd_Size","Goats_Herd_Size","Sheep_Herd_Size","Total_Animals_Tested","no_Tested_Bovine","no_Tested_Camel","no_Tested_Goat","no_Tested_Sheep","no_Positive_Bovine","no_Positive_Camel","no_Positive_Goat","no_Positive_Sheep","no_Negative_Bovine","no_Negative_Camel","no_Negative_Goat","no_Negative_Sheep","no_Tested_Human","no_Positive_Human","no_Negative_Human"
"Kajiado","Empukani",1217,333,0,467,417,320,90,0,130,100,5,0,4,1,85,0,126,97,98,4,94
"Kajiado","Endonyo",550,121,0,250,179,233,57,0,96,80,1,0,1,0,56,0,95,80,73,1,72
"Kajiado","Ilumbwa",814,280,0,271,263,210,55,0,79,76,0,0,1,0,55,0,78,76,52,3,49
"Kajiado","Kikeleya",699,330,0,192,177,277,94,0,95,88,11,0,2,0,83,0,93,86,101,6,95
"Kajiado","Kisrket",2132,754,0,794,584,415,148,0,144,123,10,0,1,0,138,0,143,112,145,12,133
"Marsabit","Laisamis",708,45,124,290,249,161,7,71,48,35,1,3,5,1,6,68,42,34,44,11,33
"Marsabit","Lontolio",1254,129,152,615,358,374,39,112,144,79,6,11,15,1,32,101,129,78,85,11,74
"Kajiado","Mailwa",458,102,0,155,201,191,35,0,79,77,5,0,2,1,30,0,77,75,67,2,65
"Marsabit","Nairibi",588,56,23,346,163,224,43,18,103,60,2,1,2,0,41,17,101,60,78,10,68
"Marsabit","Ndikir",2665,406,299,1260,700,497,63,161,166,107,5,9,17,8,58,150,149,98,123,17,106
"Kajiado","Olchurai",1055,422,0,349,284,203,67,0,71,65,4,0,2,0,63,0,69,65,70,2,68
"Marsabit","Sakardala",2650,268,450,1121,811,675,91,335,169,80,15,37,19,4,76,298,150,76,130,24,106
"Kajiado","Sere",996,269,0,412,315,306,81,0,120,105,3,0,0,2,78,0,120,103,115,5,110
"Marsabit","Silapani",2792,249,303,1575,665,492,94,188,155,55,7,13,12,1,86,175,143,54,103,14,89
"Marsabit","Trigamo",5452,673,566,2552,1661,1049,172,397,302,178,20,50,29,9,152,347,273,169,196,28,168
