,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
2,1,6.3724980576853e-05,0.00150642,0.000345996,2.44953683047268e-08,0.002390183,1.19142216857598e-07,192.48287,0,combination 4
3,2,0.000108015,0.001508436,0.00044351,6.42732031457249e-09,0.002260905,0.041533213,196.0714861,0,combination 4
10,3,4.92484648787261e-06,0.002090411,0.000319879,7.56181189971049e-09,0.002210964,0.054768121,171.6963103,0,combination 4
5,4,5.31391935044611e-06,0.001497781,0.00051373,2.24941101908349e-08,0.002468596,1.24459090049158e-08,212.1617753,0,combination 4
1,5,3.52333528433671e-05,0.001445157,0.000465708,4.74850039702328e-09,0.002636624,0.014218535,267.1305319,0,combination 4
21,6,7.67741086225868e-05,0.001425684,0.000327888,6.5836674932282e-09,0.002126408,0.05766842,186.0359356,0,combination 4
7,7,2.78838975413946e-05,0.001515617,0.00046962,1.22760892392154e-08,0.002401458,0.020497202,210.0172055,0,combination 4
31,8,5.35768606997805e-06,0.001842948,0.00030532,9.70549325543597e-09,0.002213726,0.045490324,185.957285,0,combination 4
6,9,1.83019603634763e-05,0.001257993,0.000453209,2.5253903318225e-08,0.002233192,0.013841298,166.2059283,0,combination 4
71,10,7.84006539439727e-05,0.001399412,0.000511879,1.02949096368823e-08,0.00260956,0.014795185,240.3922832,0,combination 4
22,11,7.68739763379341e-06,0.002081689,0.000374094,1.08146905758451e-08,0.002207598,0.052728257,189.9253075,0,combination 4
51,12,1.70501661055732e-05,0.001597511,0.000366711,2.49344420289445e-08,0.002370027,8.25325180711942e-08,201.5659849,0,combination 4
11,13,0.000100831,0.001918016,0.000304811,1.168975504844e-08,0.002267304,0.033025231,197.2547833,0,combination 4
9,14,0.000150899,0.00148144,0.00033081,1.87037490144882e-08,0.002263383,0.021855717,183.3257638,0,combination 4
101,15,6.09919938151902e-05,0.001480273,0.000496803,3.3310006781277e-09,0.002155048,0.07408018,175.9944142,0,combination 4
12,16,3.5733774021259e-05,0.001517419,0.000544965,5.41052261457752e-13,0.002338843,0.057305517,218.2075526,0,combination 4
72,17,2.90986137898816e-06,0.001715242,0.000318308,4.02137598207079e-16,0.002226755,0.076881922,231.420185,0,combination 4
61,18,3.57093329993853e-05,0.001819026,0.000346929,5.1260335265342e-09,0.002179797,0.063933047,178.5047498,0,combination 4
62,19,2.10575867657029e-05,0.001705897,0.000340009,1.20401251618358e-08,0.002163983,0.046141335,171.1584161,0,combination 4
