,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
9,1,0.000198495,0.001778882,0.000364878,1.53329187881038e-07,0.005382357,0.031753998,148.7924742,0,combination 1
1,2,1.49560380197939e-05,0.00228991,0.000316008,1.0271904625911e-07,0.004761519,0.057148328,143.1313993,0,combination 1
10,3,8.2804089118242e-05,0.001985629,0.000410196,7.37557628741434e-08,0.004699589,0.064754382,133.4575017,0,combination 1
7,4,2.10908512021393e-05,0.002142189,0.00036165,1.9026181646162e-07,0.005742322,0.022270094,153.5838243,0,combination 1
71,5,0.000134107,0.001944702,0.000383642,1.42215766220492e-07,0.005583505,0.037632101,167.5217168,0,combination 1
11,6,5.34760759239462e-06,0.002065364,0.000350349,7.82827367684442e-08,0.004246279,0.076635092,140.0188775,0,combination 1
101,7,3.44416464505462e-05,0.002511587,0.000333519,1.06898741816128e-07,0.004966929,0.052919231,149.5992254,0,combination 1
3,8,0.000121369,0.001760471,0.000417131,7.87682797933167e-08,0.004397037,0.074322631,141.0891662,0,combination 1
91,9,3.5795330039526e-05,0.001593764,0.000480081,1.40573758570984e-07,0.005059626,0.03796441,138.9170308,0,combination 1
8,10,4.39307613516138e-05,0.002049501,0.000397885,1.37245142513134e-07,0.005451871,0.041088123,154.3822644,0,combination 1
6,11,0.000162143,0.001896947,0.000404573,1.32227666547997e-07,0.005207538,0.039626689,143.8608676,0,combination 1
31,12,1.24432225179238e-05,0.001686209,0.000411435,1.75050061348383e-07,0.005475587,0.026610485,152.777828,0,combination 1
2,13,0.000151421,0.002159691,0.000342689,9.69653481244555e-08,0.004629229,0.061745956,145.478032,0,combination 1
4,14,3.95660457585051e-05,0.002016884,0.000433646,1.2312369089317e-07,0.004914593,0.046162483,141.7178533,0,combination 1
81,15,0.00014518,0.001922822,0.000383759,5.22737159960099e-08,0.004209212,0.09232287,135.7799122,0,combination 1
102,16,0.000112669,0.002563892,0.000327037,6.54818443735282e-08,0.004464668,0.083863067,148.3310017,0,combination 1
32,17,4.80601983627382e-05,0.002088595,0.000334038,7.79267177955006e-08,0.004337977,0.082075097,149.8880921,0,combination 1
21,18,3.66492266344017e-05,0.001946273,0.000411268,6.29899663992189e-08,0.004337407,0.082519851,136.6867144,0,combination 1
72,19,2.99523586459935e-05,0.002352253,0.000319183,9.6134978085248e-08,0.004698273,0.056456295,134.8466273,0,combination 1
61,20,0.000102513,0.002874127,0.000333986,1.3638670280055e-07,0.005613586,0.033564294,148.8430319,0,combination 1
103,21,3.9516229624126e-05,0.002303435,0.000323513,8.28178578218493e-08,0.004294083,0.074844545,143.0179522,10,combination 1
82,22,0.000187,0.002031362,0.000342791,1.08125028792954e-07,0.004938955,0.049330838,136.9946672,0,combination 1
62,23,2.74501707117783e-05,0.001979329,0.000358323,1.67787001089379e-07,0.005589062,0.024626125,152.4340313,0,combination 1
12,24,0.000229006,0.0021516,0.000302884,1.74350320858499e-07,0.005874373,0.021084258,148.5754535,0,combination 1
5,25,0.000211397,0.002123601,0.000320742,2.03452335968495e-07,0.006007816,0.016796052,164.9115257,0,combination 1
83,26,3.20708152192855e-05,0.001970419,0.000349672,6.5923437861012e-08,0.003830586,0.094237912,139.1925573,0,combination 1
84,27,9.01583093911487e-05,0.002238316,0.000326418,1.52426903453684e-07,0.005487312,0.035798432,158.2534851,0,combination 1
13,28,7.04509896983636e-05,0.002431712,0.00033492,1.42481142897812e-07,0.005239703,0.038824655,153.4097659,0,combination 1
85,29,4.8672085933874e-05,0.001970256,0.000435597,2.29354015428192e-08,0.004730162,0.073352297,133.214136,0,combination 1
73,30,7.19558673589668e-05,0.001493212,0.000437971,1.60036211210091e-07,0.005169149,0.035474195,147.2916507,0,combination 1
92,31,6.90551240177869e-05,0.001562163,0.000392923,9.74514572147829e-08,0.00429498,0.064075573,137.8541543,0,combination 1
41,32,8.69149621174815e-05,0.002297069,0.000310324,1.07060584504945e-07,0.004612729,0.056273416,138.5262729,0,combination 1
